fx,time(s)
-386.07,553.63
-386.07,553.75
-386.07,553.85
-386.07,554.38
-386.07,555.32
-386.54,557.69
-386.54,558.39
-386.54,558.49
-386.54,558.75
-386.54,559.1
-386.54,559.17
-386.54,559.46
-386.54,560.62
-386.54,561.17
-386.54,562.75
-386.54,562.97
-386.54,565.7
-386.54,566.93
-386.54,573.09
-386.54,573.17
-386.54,574.56
-386.63,575.17
-386.69,580.93
-386.69,581.21
-386.69,581.58
-386.69,582.11
-386.69,582.59
-386.69,583.66
-386.69,584.42
-386.69,584.83
-386.69,586.01
-386.69,586.42
-386.89,586.67
-386.89,586.84
-386.89,587.43
-386.89,587.45
-386.89,588.01
-386.89,590.35
-386.89,590.38
-386.89,591.22
-386.89,591.3
-387.13,592.46
-387.13,592.49
-387.13,593.27
-387.13,593.86
-387.13,593.96
-387.13,595.42
-387.13,596.12
-387.13,596.76
-387.13,596.8
-387.13,597.97
-387.13,598.2
-387.39,598.27
-387.39,599.1
-387.39,599.83
-387.39,602.13
-387.39,604.02
-387.63,604.14
-387.63,604.88
-387.63,605.76
-387.63,606.04
-387.63,607.51
-387.89,609.96
-387.89,609.99
-387.89,611
-387.89,611.36
-387.89,611.46
-387.89,611.63
-387.89,612.96
-387.89,613.37
-387.89,613.59
-387.89,613.92
-387.89,615.08
-387.89,618.22
-387.89,620.87
-387.96,621.5
-387.96,623.31
-388.17,627.36
-388.17,627.72
-388.17,628.87
-388.17,629.23
-388.17,629.3
-388.17,629.39
-388.17,629.81
-388.17,632.54
-388.17,633.72
-388.17,635.5
-388.17,636.37
-388.17,636.86
-388.41,639
-388.41,639.75
-388.41,640.15
-388.41,641.19
-388.61,641.3
-388.61,642.48
-388.61,642.67
-388.61,643.55
-388.61,644.38
-388.63,644.79
-388.63,645.52
-388.63,645.63
-388.63,645.68
-388.63,646.25
-388.63,647.21
-388.63,649.57
-388.63,650.3
-388.66,650.62
-388.68,656.48
-388.68,656.54
-388.68,657.59
-388.68,659.47
-388.81,662.25
-388.81,662.27
-388.81,662.94
-388.81,663.71
-388.81,664.96
-388.81,665.21
-388.81,665.57
-388.81,666.05
-388.81,666.32
-388.81,666.94
-388.84,668.03
-388.84,669.26
-388.91,671.23
-388.91,672.74
-388.91,673.05
-388.98,673.95
-388.98,674.24
-388.98,674.45
-388.98,676.75
-388.98,676.98
-388.98,677.31
-388.98,677.33
-388.98,678.23
-388.98,678.97
-389.07,679.71
-389.07,679.76
-389.26,683.41
-389.26,684.8
-389.26,685.13
-389.26,685.52
-389.26,686.11
-389.26,688.43
-389.26,688.47
-389.26,688.62
-389.26,690.96
-389.26,692.31
-389.26,692.53
-389.26,692.73
-389.26,694.49
-389.26,696.83
-389.26,697.26
-389.34,697.32
-389.34,702.77
-389.41,703.26
-389.41,704
-389.41,704.11
-389.41,705.26
-389.41,705.67
-389.41,706.08
-389.49,707.44
-389.92,708.36
-389.92,708.78
-389.92,709.17
-389.92,709.17
-389.92,709.94
-389.92,711.48
-389.92,711.93
-389.92,712.66
-389.92,713.41
-390.33,715.04
-390.33,715.8
-390.33,716.71
-390.33,717.24
-390.33,717.69
-390.33,718.07
-390.33,718.5
-390.33,719.36
-390.33,719.67
-390.33,720.12
-390.33,723.24
-390.33,728.54
-390.33,729.76
-390.33,731.32
-390.59,731.96
-390.59,732.65
-390.59,732.69
-390.59,733.62
-390.59,734.16
-390.59,734.44
-390.59,735.15
-390.59,735.21
-390.59,735.79
-390.59,736.15
-390.59,736.68
-390.59,737.32
-390.59,737.46
-390.59,737.46
-390.67,743.44
-390.67,747.77
-390.67,753.26
-390.67,756.08
-390.67,759.82
-390.67,762.41
-390.67,767.41
-390.8,773.42
-390.8,773.56
-390.8,773.91
-390.8,775.18
-390.8,775.22
-390.8,775.54
-390.8,775.87
-390.8,775.89
-390.8,776.63
-390.8,777.07
-390.83,778.7
-391.02,779.44
-391.02,779.58
-391.02,779.84
-391.02,780.97
-391.02,781.04
-391.02,781.63
-391.02,781.75
-391.02,782
-391.02,782.41
-391.02,782.48
-391.02,782.88
-391.02,784.54
-391.02,784.54
-391.1,785.44
-391.1,785.73
-391.1,786.11
-391.1,789.55
-391.1,789.55
-391.1,789.62
-391.1,791.01
-391.1,791.29
-391.18,791.51
-391.18,791.59
-391.18,791.7
-391.18,792.61
-391.18,792.78
-391.18,794.27
-391.18,794.42
-391.18,794.51
-391.46,795.55
-391.46,796.29
-391.46,797.48
-391.46,797.51
-391.46,797.71
-391.46,797.81
-391.46,798.55
-391.46,798.66
-391.46,800.13
-391.46,800.15
-391.46,800.31
-391.46,802.51
-391.46,803.14
-391.46,805.86
-391.75,809.58
-391.75,810.01
-391.75,810.18
-391.75,811.45
-391.75,811.94
-391.75,811.96
-391.75,813.35
-391.75,814.13
-391.75,815.31
-391.75,815.31
-391.9,815.53
-391.9,815.93
-391.9,816.16
-391.9,816.41
-391.97,816.69
-391.97,817.15
-391.97,817.76
-391.97,817.82
-391.97,818.46
-391.97,819.49
-391.97,819.63
-391.97,820.05
-391.97,821.23
-392.35,821.6
-392.35,821.86
-392.35,822.28
-392.35,822.55
-392.35,822.61
-392.35,822.84
-392.35,823.47
-392.35,823.68
-392.35,823.89
-392.35,826.01
-392.35,827.03
-392.69,827.61
-392.69,827.63
-392.69,827.72
-392.69,828.39
-392.69,828.56
-392.69,828.64
-392.69,829.05
-392.69,829.18
-392.69,829.5
-392.69,831.87
-392.69,832.36
-392.69,832.97
-392.84,833.59
-392.84,834.37
-392.84,834.41
-392.84,834.5
-392.84,834.97
-392.84,834.97
-392.84,835.34
-392.84,835.6
-392.84,835.82
-392.84,837.02
-392.84,837.75
-392.84,838.9
-392.84,839.46
-393.41,840.45
-393.41,840.49
-393.41,840.5
-393.41,840.66
-393.41,840.95
-393.41,841.22
-393.41,843.6
-393.41,843.62
-393.41,844.76
-393.41,844.89
-393.41,844.89
-393.41,845.03
-393.41,845.34
-393.49,845.47
-393.49,845.98
-393.49,847.91
-393.59,852.38
-393.59,852.94
-393.59,855.39
-393.59,856.65
-393.59,857.1
-393.59,857.3
-393.59,857.44
-393.59,858.04
-393.59,858.69
-393.59,859.59
-393.59,859.82
-394.66,861.19
-394.66,862.54
-394.66,862.92
-394.66,863.21
-394.66,863.33
-394.66,863.33
-394.66,863.87
-394.66,864.36
-394.66,864.78
-394.66,867.84
-394.66,869.77
-394.66,872.15
-394.66,872.21
-394.66,873.21
-394.66,877.26
-394.66,877.4
-394.9,878.86
-394.9,879.28
-394.9,879.92
-394.9,880.07
-394.9,880.37
-394.9,880.53
-394.9,881.18
-394.9,882.22
-394.9,882.49
-394.9,883.57
-394.9,883.91
-394.9,885
-394.9,892.54
-394.9,893
-394.9,896.4
-394.9,899.71
-394.9,905.05
-394.9,918.85
-394.9,919.87
-394.9,929.72
-394.9,941.19
-394.92,941.3
-394.92,949.08
-395.66,958.67
-395.66,960.43
-395.66,961
-395.66,961.18
-395.66,961.32
-395.66,961.6
-395.66,963.42
-395.66,964.36
-395.66,964.43
-395.66,964.58
-395.66,967.03
-395.66,970.4
-395.66,975.49
-395.66,978.3
-395.66,978.98
-395.66,983.43
-395.69,988.48
-395.71,994.63
-395.71,999.03
-395.92,1004.9
-395.92,1005
-395.92,1005.6
-395.92,1005.8
-395.92,1006.1
-395.92,1006.7
-395.92,1007.5
-395.92,1007.6
-395.92,1007.6
-395.92,1008
-395.92,1010.8
-396.06,1010.8
-396.06,1011.5
-396.06,1012.1
-396.06,1012.1
-396.06,1012.9
-396.06,1013.2
-396.06,1013.4
-396.06,1013.5
-396.06,1013.8
-396.06,1015.4
-396.06,1016.6
-396.06,1016.6
-396.22,1016.6
-396.22,1017.3
-396.22,1017.9
-396.22,1018
-396.22,1018.7
-396.22,1018.8
-396.22,1019
-396.22,1019.2
-396.22,1019.3
-396.22,1019.6
-396.22,1021.9
-396.22,1022.4
-396.24,1022.5
-396.24,1029
-396.98,1034.5
-396.98,1034.7
-396.98,1034.7
-396.98,1035.3
-396.98,1035.8
-396.98,1036.4
-396.98,1036.9
-396.98,1036.9
-396.98,1036.9
-396.98,1037.4
-396.98,1037.6
-396.98,1040
-396.98,1040.1
-396.98,1041.3
-396.98,1042
-396.98,1044
-396.98,1047.5
-396.98,1071.1
-397.17,1075.9
-397.17,1076.3
-397.17,1077.7
-397.17,1077.8
-397.17,1078.2
-397.17,1078.3
-397.17,1078.4
-397.17,1078.4
-397.17,1079.1
-397.17,1079.8
-397.17,1080
-397.17,1081.2
-397.17,1081.2
-397.17,1081.4
-397.17,1082.4
-397.17,1090.4
-397.17,1095.4
-397.17,1096.2
-397.22,1099.9
-397.22,1100.1
-397.22,1100.2
-397.22,1101.1
-397.27,1105.8
-397.27,1106.4
-397.27,1107.5
-397.27,1107.8
-397.27,1107.8
-397.27,1108
-397.27,1108.3
-397.27,1108.9
-397.27,1108.9
-397.27,1109
-397.27,1109.9
-397.27,1110.6
-397.27,1110.6
-397.36,1111.9
-397.36,1112.2
-397.36,1113.4
-397.36,1113.4
-397.36,1113.8
-397.36,1113.9
-397.36,1114.3
-397.36,1114.3
-397.36,1114.7
-397.36,1114.8
-397.36,1115
-397.36,1116.5
-397.36,1116.5
-397.36,1118.5
-397.36,1122.5
-397.45,1123.8
-397.45,1123.9
-397.45,1124.8
-397.45,1125
-397.45,1125.7
-397.45,1125.8
-397.45,1126
-397.45,1126.3
-397.45,1127.1
-397.45,1128.1
-397.45,1128.3
-397.45,1128.3
-397.45,1129.5
-397.45,1130.2
-397.45,1131.5
-397.7,1135.6
-397.7,1136.6
-397.7,1137.6
-397.73,1137.7
-397.73,1137.8
-397.73,1137.8
-397.73,1138.1
-397.73,1139
-397.73,1139.7
-397.73,1139.7
-397.73,1140.1
-397.73,1140.2
-397.73,1140.2
-397.78,1141.6
-397.78,1142.4
-397.78,1143.4
-397.78,1143.6
-397.78,1143.7
-397.78,1143.7
-397.78,1144.6
-397.78,1145
-397.78,1145.1
-397.78,1145.2
-397.78,1145.6
-397.78,1146
-397.78,1146
-397.78,1146.1
-397.78,1148.7
-397.78,1148.9
-397.78,1149.5
-398.1,1152
-398.1,1153.5
-398.1,1153.5
-398.1,1153.8
-398.1,1154
-398.1,1154.6
-398.1,1155.2
-398.1,1155.3
-398.1,1155.4
-398.1,1155.6
-398.1,1155.6
-398.1,1155.7
