Unnamed: 0	observableId	simulationConditionId	measurement	time
105	obs_cycB1__nuc_median	wt	0.01614414092505078	2820
106	obs_cycB1__nuc_median	wt	0.017374818611515748	3525
107	obs_cycB1__nuc_median	wt	0.01879562703154204	4230
108	obs_cycB1__nuc_median	wt	0.020429097528062545	4935
109	obs_cycB1__nuc_median	wt	0.022296813735547816	5640
110	obs_cycB1__nuc_median	wt	0.024417597551024177	6345
111	obs_cycB1__nuc_median	wt	0.026807124928374677	7050
112	obs_cycB1__nuc_median	wt	0.029478266296972984	7755
113	obs_cycB1__nuc_median	wt	0.032441666300029454	8460
114	obs_cycB1__nuc_median	wt	0.035706281881997086	9165
115	obs_cycB1__nuc_median	wt	0.03927989366372573	9870
116	obs_cycB1__nuc_median	wt	0.043169807397471595	10575
117	obs_cycB1__nuc_median	wt	0.04738397577240562	11280
118	obs_cycB1__nuc_median	wt	0.05193266138843468	11985
119	obs_cycB1__nuc_median	wt	0.056830620949623455	12690
120	obs_cycB1__nuc_median	wt	0.06209968829209576	13395
121	obs_cycB1__nuc_median	wt	0.06777158308669999	14100
122	obs_cycB1__nuc_median	wt	0.07389083950762598	14805
123	obs_cycB1__nuc_median	wt	0.08051782349019194	15510
124	obs_cycB1__nuc_median	wt	0.08773195845288234	16215
125	obs_cycB1__nuc_median	wt	0.0956353971159643	16920
126	obs_cycB1__nuc_median	wt	0.10435747881451914	17625
127	obs_cycB1__nuc_median	wt	0.11406030816627657	18330
128	obs_cycB1__nuc_median	wt	0.12494562483350806	19035
129	obs_cycB1__nuc_median	wt	0.13726239237410975	19740
130	obs_cycB1__nuc_median	wt	0.15131271230949458	20445
131	obs_cycB1__nuc_median	wt	0.16744932909759702	21150
132	obs_cycB1__nuc_median	wt	0.1860498177331755	21855
133	obs_cycB1__nuc_median	wt	0.20744577269424933	22560
134	obs_cycB1__nuc_median	wt	0.23180730617885897	23265
135	obs_cycB1__nuc_median	wt	0.2590588287959836	23970
136	obs_cycB1__nuc_median	wt	0.2889230260553365	24675
137	obs_cycB1__nuc_median	wt	0.32104619208370155	25380
138	obs_cycB1__nuc_median	wt	0.355085894491379	26085
139	obs_cycB1__nuc_median	wt	0.39073783456835004	26790
140	obs_cycB1__nuc_median	wt	0.42773543727211794	27495
141	obs_cycB1__nuc_median	wt	0.46584415618045316	28200
142	obs_cycB1__nuc_median	wt	0.5048565757195395	28905
143	obs_cycB1__nuc_median	wt	0.5445887705702477	29610
144	obs_cycB1__nuc_median	wt	0.5848773885486696	30315
145	obs_cycB1__nuc_median	wt	0.6255770975089965	31020
146	obs_cycB1__nuc_median	wt	0.6665582676812285	31725
147	obs_cycB1__nuc_median	wt	0.7077048239433311	32430
148	obs_cycB1__nuc_median	wt	0.7489122680553518	33135
149	obs_cycB1__nuc_median	wt	0.7900860137112414	33840
150	obs_cycB1__nuc_median	wt	0.8311396908548901	34545
151	obs_cycB1__nuc_median	wt	0.8719938637738202	35250
152	obs_cycB1__nuc_median	wt	0.9125748214641551	35955
153	obs_cycB1__nuc_median	wt	0.9528135415273783	36660
154	obs_cycB1__nuc_median	wt	0.992644777195485	37365
155	obs_cycB1__nuc_median	wt	1.0320062642409122	38070
156	obs_cycB1__nuc_median	wt	1.070838007545156	38775
157	obs_cycB1__nuc_median	wt	1.109081638314731	39480
158	obs_cycB1__nuc_median	wt	1.1466798071049904	40185
159	obs_cycB1__nuc_median	wt	1.183575595081355	40890
160	obs_cycB1__nuc_median	wt	1.219711913703178	41595
161	obs_cycB1__nuc_median	wt	1.255030901730774	42300
162	obs_cycB1__nuc_median	wt	1.289473183190023	43005
163	obs_cycB1__nuc_median	wt	1.3229770891283794	43710
164	obs_cycB1__nuc_median	wt	1.3554776616328805	44415
165	obs_cycB1__nuc_median	wt	1.386905438325627	45120
166	obs_cycB1__nuc_median	wt	1.4171848767669373	45825
167	obs_cycB1__nuc_median	wt	1.4462322559603118	46530
168	obs_cycB1__nuc_median	wt	1.4739528159536293	47235
169	obs_cycB1__nuc_median	wt	1.500236717329163	47940
170	obs_cycB1__nuc_median	wt	1.5249531871926156	48645
171	obs_cycB1__nuc_median	wt	1.5479416635100256	49350
172	obs_cycB1__nuc_median	wt	1.5689978886130338	50055
173	obs_cycB1__nuc_median	wt	1.5878508833833531	50760
174	obs_cycB1__nuc_median	wt	1.6041223765650694	51465
175	obs_cycB1__nuc_median	wt	1.6172494077244295	52170
176	obs_cycB1__nuc_median	wt	1.6263200790164252	52875
177	obs_cycB1__nuc_median	wt	1.6296699209067835	53580
178	obs_cycB1__nuc_median	wt	1.623643747865231	54285
179	obs_cycB1__nuc_median	wt	1.5970459332377247	54990
180	obs_cycB1__nuc_median	wt	1.4961811765053075	55695
181	obs_cycB1__nuc_median	wt	1.28113488790549	56400
182	obs_cycB1__nuc_median	wt	1.0205799316261175	57105
183	obs_cycB1__nuc_median	wt	0.7763927066930242	57810
184	obs_cycB1__nuc_median	wt	0.5780160206684007	58515
185	obs_cycB1__nuc_median	wt	0.4300604619340438	59220
186	obs_cycB1__nuc_median	wt	0.32531288549385917	59925
187	obs_cycB1__nuc_median	wt	0.2533939163735591	60630
188	obs_cycB1__nuc_median	wt	0.20456918938187324	61335
189	obs_cycB1__nuc_median	wt	0.16994240792774665	62040
190	obs_cycB1__nuc_median	wt	0.13949161672772012	62745
191	obs_cycB1__nuc_median	wt	0.1115548013708742	63450
192	obs_cycB1__nuc_median	wt	0.08910521126438031	64155
193	obs_cycB1__nuc_median	wt	0.07166652546052393	64860
194	obs_cycB1__nuc_median	wt	0.056515265079405484	65565
195	obs_cycB1__nuc_median	wt	0.04226521197583758	66270
196	obs_cycB1__nuc_median	wt	0.03056088695876954	66975
197	obs_cycB1__nuc_median	wt	0.023012106117406235	67680
198	obs_cycB1__nuc_median	wt	0.019103971456532486	68385
199	obs_cycB1__nuc_median	wt	0.017447602310656025	69090
200	obs_cycB1__nuc_median	wt	0.016973662012265286	69795
201	obs_cycB1__nuc_median	wt	0.01710023647904045	70500
202	obs_cycE__nuc_median	wt	0.49663434547199997	0
203	obs_cycE__nuc_median	wt	0.5422172645111472	705
204	obs_cycE__nuc_median	wt	0.5992963990201813	1410
205	obs_cycE__nuc_median	wt	0.660743655388172	2115
206	obs_cycE__nuc_median	wt	0.7272717764934518	2820
207	obs_cycE__nuc_median	wt	0.7986418626696187	3525
208	obs_cycE__nuc_median	wt	0.8737185841797763	4230
209	obs_cycE__nuc_median	wt	0.9505076127890987	4935
210	obs_cycE__nuc_median	wt	1.026271146698688	5640
211	obs_cycE__nuc_median	wt	1.0978084343999457	6345
212	obs_cycE__nuc_median	wt	1.1618668114119621	7050
213	obs_cycE__nuc_median	wt	1.2155752811043319	7755
214	obs_cycE__nuc_median	wt	1.2567903866687753	8460
215	obs_cycE__nuc_median	wt	1.2842908599488072	9165
216	obs_cycE__nuc_median	wt	1.2978130054858619	9870
217	obs_cycE__nuc_median	wt	1.2979538730113094	10575
218	obs_cycE__nuc_median	wt	1.2859864304721356	11280
219	obs_cycE__nuc_median	wt	1.2636325080525368	11985
220	obs_cycE__nuc_median	wt	1.2328329853361402	12690
221	obs_cycE__nuc_median	wt	1.1955448118286436	13395
222	obs_cycE__nuc_median	wt	1.1535831287916039	14100
223	obs_cycE__nuc_median	wt	1.1085157592181785	14805
224	obs_cycE__nuc_median	wt	1.0616083815756203	15510
225	obs_cycE__nuc_median	wt	1.0138124189335387	16215
226	obs_cycE__nuc_median	wt	0.9657846450733055	16920
227	obs_cycE__nuc_median	wt	0.9179268187200862	17625
228	obs_cycE__nuc_median	wt	0.8704351931236253	18330
229	obs_cycE__nuc_median	wt	0.8233526192882572	19035
230	obs_cycE__nuc_median	wt	0.7766200499391427	19740
231	obs_cycE__nuc_median	wt	0.7301287694784463	20445
232	obs_cycE__nuc_median	wt	0.6837807837682123	21150
233	obs_cycE__nuc_median	wt	0.6375714312130804	21855
234	obs_cycE__nuc_median	wt	0.5917070731224443	22560
235	obs_cycE__nuc_median	wt	0.5467336787502988	23265
236	obs_cycE__nuc_median	wt	0.5035596522299928	23970
237	obs_cycE__nuc_median	wt	0.46323697539784064	24675
238	obs_cycE__nuc_median	wt	0.4265933591619416	25380
239	obs_cycE__nuc_median	wt	0.3939977659845707	26085
