fx,time(s)
2.85E+03,2.50E+04
2.85E+03,2.51E+04
2.85E+03,2.60E+04
2.85E+03,2.63E+04
2.85E+03,2.63E+04
2.85E+03,2.70E+04
2.85E+03,2.71E+04
2.85E+03,2.74E+04
2.85E+03,2.74E+04
2.85E+03,2.78E+04
2.85E+03,2.79E+04
2.85E+03,2.86E+04
2.85E+03,2.87E+04
2.85E+03,2.87E+04
2.85E+03,2.90E+04
2.85E+03,2.92E+04
2.85E+03,2.93E+04
2.85E+03,3.00E+04
2.85E+03,3.00E+04
2.85E+03,3.00E+04
2.85E+03,3.00E+04
2.85E+03,3.01E+04
2.85E+03,3.01E+04
2.85E+03,3.01E+04
2.85E+03,3.01E+04
2.85E+03,3.02E+04
2.85E+03,3.02E+04
2.85E+03,3.02E+04
2.85E+03,3.03E+04
2.85E+03,3.03E+04
2.85E+03,3.03E+04
2.85E+03,3.04E+04
2.85E+03,3.06E+04
2.85E+03,3.08E+04
2.85E+03,3.09E+04
2.85E+03,3.15E+04
2.85E+03,3.19E+04
2.85E+03,3.19E+04
2.85E+03,3.20E+04
2.85E+03,3.24E+04
2.85E+03,3.27E+04
2.85E+03,3.29E+04
2.85E+03,3.32E+04
2.85E+03,3.33E+04
2.85E+03,3.33E+04
2.85E+03,3.34E+04
2.85E+03,3.35E+04
2.85E+03,3.38E+04
2.85E+03,3.38E+04
2.85E+03,3.39E+04
2.85E+03,3.41E+04
2.85E+03,3.42E+04
2.85E+03,3.42E+04
2.85E+03,3.43E+04
2.85E+03,3.43E+04
2.85E+03,3.43E+04
2.85E+03,3.44E+04
2.85E+03,3.44E+04
2.85E+03,3.44E+04
2.85E+03,3.45E+04
2.85E+03,3.45E+04
2.85E+03,3.45E+04
2.85E+03,3.45E+04
2.85E+03,3.46E+04
2.85E+03,3.46E+04
2.85E+03,3.46E+04
2.85E+03,3.46E+04
2.85E+03,3.46E+04
2.85E+03,3.46E+04
2.85E+03,3.47E+04
2.85E+03,3.47E+04
2.85E+03,3.47E+04
2.85E+03,3.47E+04
2.85E+03,3.47E+04
2.85E+03,3.48E+04
2.85E+03,3.48E+04
2.85E+03,3.49E+04
2.85E+03,3.49E+04
2.84E+03,3.49E+04
2.84E+03,3.49E+04
2.84E+03,3.49E+04
2.84E+03,3.49E+04
2.84E+03,3.49E+04
2.84E+03,3.49E+04
2.84E+03,3.49E+04
2.84E+03,3.50E+04
2.84E+03,3.50E+04
2.84E+03,3.50E+04
2.84E+03,3.50E+04
2.84E+03,3.50E+04
2.84E+03,3.52E+04
2.84E+03,3.54E+04
2.84E+03,3.56E+04
2.84E+03,3.59E+04
2.84E+03,3.59E+04
2.84E+03,3.59E+04
2.84E+03,3.59E+04
2.84E+03,3.59E+04
2.84E+03,3.59E+04
2.84E+03,3.60E+04
2.84E+03,3.60E+04
2.84E+03,3.60E+04
2.84E+03,3.60E+04
2.84E+03,3.61E+04
2.84E+03,3.66E+04
2.84E+03,3.76E+04
2.84E+03,3.77E+04
2.84E+03,3.78E+04
2.84E+03,3.78E+04
2.84E+03,3.87E+04
2.84E+03,4.15E+04
2.84E+03,4.16E+04
2.84E+03,4.18E+04
2.84E+03,4.18E+04
2.84E+03,4.18E+04
2.84E+03,4.19E+04
2.84E+03,4.19E+04
2.84E+03,4.19E+04
2.84E+03,4.20E+04
2.84E+03,4.20E+04
2.84E+03,4.21E+04
2.84E+03,4.22E+04
2.84E+03,4.22E+04
2.84E+03,4.22E+04
2.84E+03,4.22E+04
2.84E+03,4.23E+04
2.84E+03,4.23E+04
2.84E+03,4.24E+04
2.84E+03,4.25E+04
2.84E+03,4.26E+04
2.84E+03,4.26E+04
2.84E+03,4.26E+04
2.84E+03,4.26E+04
2.84E+03,4.27E+04
2.84E+03,4.28E+04
2.84E+03,4.28E+04
