parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization	objectivePriorType	objectivePriorParameters
ic_wt_cell__CDC20_APC_		lin	2.16E-02	2.16E+00	0.021600039	1	0	uniform	
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__CDC20_APC_1_		lin	7.19E-02	7.19E+00	0.132083079	1	0	uniform	
ic_wt_cell__APC_FBXO5_FZR1_CDC20_Ser355p_		lin	4.55E-02	4.55E+00	4.142409633	1	0	uniform	
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355u__FZR1_APC_1_FBXO5_nTermu_		lin	2.66E-03	2.66E-01	0.239893982	1	0	uniform	
ic_wt_cell__FZR1_APC_FBXO5_nTermu_		lin	2.07E-04	2.07E-02	0.0207	1	0	uniform	
ic_wt_cell__FZR1_APC_FBXO5_nTermp_		lin	8.73E-02	8.73E+00	0.091360525	1	0	uniform	
ic_wt_cell__APC_FBXO5_1_FZR1_CDC20_2_Ser355u__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		lin	8.46E-03	8.46E-01	0.015962941	1	0	uniform	
ic_wt_cell__FBXO5_APC_FZR1_Ser182u_		lin	2.16E-02	2.16E+00	0.492130281	1	0	uniform	
ic_wt_cell__APC_FBXO5_1_FZR1_CDC20_2_Ser355p__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		lin	1.04E-03	1.04E-01	0.103999998	1	0	uniform	
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__FZR1_APC_1_FBXO5_nTermu_		lin	3.27E-04	3.27E-02	0.019437575	1	0	uniform	
ic_wt_cell__FBXO5_APC_FZR1_Ser182p_		lin	2.90E-04	2.90E-02	0.026115125	1	0	uniform	
ic_wt_cell__FOXM1_DBD_Thr600u_		lin	3.94E-03	3.94E-01	0.003940009	1	0	uniform	
ic_wt_cell__FOXM1_DBD_Thr600p_		lin	6.29E-02	6.29E+00	0.062900115	1	0	uniform	
ic_wt_cell__CCNB_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_		lin	0.00E+00	0.00E+00	1.90E-07	0	0	uniform	
ic_wt_cell__CCNB_promoter_FOXM1_		lin	1.00E-05	1.00E-03	1.00E-04	0	0	uniform	
ic_wt_cell__CDC20_promoter_FOXM1_		lin	1.00E-05	1.00E-03	1.00E-04	0	0	uniform	
ic_wt_cell__CDC20_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_		lin	0.00E+00	0.00E+00	0.00E+00	0	0	uniform	
ic_wt_cell__WEE1_Ser123u_		lin	2.71E-03	2.71E-01	0.263482622	1	0	uniform	
ic_wt_cell__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_		lin	5.17E-04	5.17E-02	0.002167134	1	0	uniform	
ic_wt_cell__WEE1_Ser123p_		lin	9.73E-02	9.73E+00	6.381711542	1	0	uniform	
ic_wt_cell__CDC25_pSitesp_		lin	9.71E-02	9.71E+00	0.186941482	1	0	uniform	
ic_wt_cell__CDC25_pSitesu_		lin	2.91E-03	2.91E-01	0.007048923	1	0	uniform	
ic_wt_cell__MASTL_Thr198u_		lin	6.05E-02	6.05E+00	0.060676609	1	0	uniform	
ic_wt_cell__MASTL_Thr198p_		lin	3.95E-02	3.95E+00	3.084642742	1	0	uniform	
