parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization	objectivePriorType	objectivePriorParameters				
kAsFOXOPCDKN1B		log	4.98E-13	4.98E-09	7.83E-13	1	0	uniform					
kDiFOXOPCDKN1B		log	0.000512749	1.499999838	0.051275188	1	0	uniform					
kSyCDKN1B_1		log	1199961.463	119999723.9	15940314.31	1	0	uniform					
kSyCDKN1B_2		log	0.099999509	10.00004907	0.748472746	1	0	uniform					
kDeCDKN1B_1		log	2.00E-05	0.200003583	0.001481073	1	0	uniform					
kDeCDKN1B_2		log	4.15E-15	4.15E-13	2.00E-14	1	0	uniform					
kAsCdkn1bC		log	1.16E-14	1.16E-12	1.07E-12	1	0	uniform					
kDiCdkn1bC		log	3.00E-07	0.002740981	3.00E-05	1	0	uniform					
kPhCDKN1BByCe		log	4.24E-15	4.46E-13	8.30E-15	1	0	uniform					
kPhCDKN1BByCa		log	8.30E-14	6.15E-08	8.30E-13	1	0	uniform					
kPhCDKN1BByCb		log	8.30E-18	8.30E-16	8.30E-17	1	0	uniform					
kDpCDKN1B		log	8.52E-06	0.02000006	0.000851901	1	0	uniform					
kPhNup		log	0	498	0	0	0	uniform					
kDpNup_1		log	0	20	0	0	0	uniform					
kImImCCND_1		log	0.000166	0.016600043	0.000434399	1	0	uniform					
kExImCCND_1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImCCNE_CDKN1A_B__1		log	0.001139552	16.74518969	0.11395551	1	0	uniform					
kExImCCNE_CDKN1A_B__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImE2F_DBD_RB1_Ser332u__1		log	0.000166	0.016600043	0.015299578	1	0	uniform					
kExImE2F_DBD_RB1_Ser332u__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImE2F_DBD_RB1_Ser332p__1		log	0.008357794	16.59995526	0.165999992	1	0	uniform					
kExImE2F_DBD_RB1_Ser332p__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImCCNA_CDKN1A_B__1		log	0.160394001	16.59995526	0.166	1	0	uniform					
kExImCCNA_CDKN1A_B__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImCCNB_CDK1_Thr14_Tyr15u_CDKN1A__1		log	0.000461299	0.165999583	0.048516842	1	0	uniform					
kExImCCNB_CDK1_Thr14_Tyr15u_CDKN1A__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImE2F_DBD_RB11_Ser332u__RB1_E2F1_Ser807_Ser811u__1		log	0.001659996	0.165999583	0.037571204	1	0	uniform					
kExImE2F_DBD_RB11_Ser332u__RB1_E2F1_Ser807_Ser811u__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImE2F_DBD_RB11_Ser332p__RB1_E2F1_Ser807_Ser811u__1		log	0.001350234	16.60003719	0.166	1	0	uniform					
kExImE2F_DBD_RB11_Ser332p__RB1_E2F1_Ser807_Ser811u__1		log	0.00166	0.166	0.016605779	0	0	uniform					
kImImRB1_E2F_Ser807_Ser811u__1		log	1.66E-05	0.165999583	0.00625216	1	0	uniform					
kExImRB1_E2F_Ser807_Ser811u__1		log	0.00166	0.166	0.016605779	0	0	uniform					
