parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization
kDiFPcdc		log	1.73E-02	1.73E+00	0.052452305	1	0
kPhC25B		log	6.93E-04	6.93E-02	0.009865574	1	0
kPhCAEE		log	5.54E-05	5.54E-03	0.003526142	1	0
kPhCAEA		log	1.39E-03	1.39E-01	0.006405758	1	0
kPhCAEB		log	1.39E-02	1.39E+00	0.161840014	1	0
kDpE2f1		log	0.00E+00	0.00E+00	0	0	0
kPhC25A		log	0.00E+00	0.00E+00	0	0	0
ic_wt_cell__CCND		lin	1.00E-01	1.00E+01	0.280484	1	0
ic_wt_cell__CCNE		lin	2.32E-02	2.32E+00	0.111037	1	0
ic_wt_cell__E2F_DBD_RB1_Ser332u_		lin	1.85E-03	1.85E-01	0.091468	1	0
ic_wt_cell__E2F_DBD_RB1_Ser332p_		lin	3.81E-06	3.81E-04	0.000347	1	0
ic_wt_cell__CCNA		lin	7.03E-04	7.03E-02	0.0703	1	0
ic_wt_cell__CCNB_CDK1_Thr14_Tyr15u_		lin	1.88E-04	1.88E-02	0.017694	1	0
ic_wt_cell__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_		lin	7.15E-03	7.15E-01	0.027998	1	0
ic_wt_cell__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_		lin	1.51E-05	1.51E-03	0.001433	1	0
ic_wt_cell__RB1_E2F_Ser807_Ser811u_		lin	8.76E-03	8.76E-01	0.480884	1	0
ic_wt_cell__RB1_E2F_Ser807_Ser811p_		lin	8.41E-02	8.41E+00	1.972514	1	0
ic_wt_cell__PPP2R2B_ENSA_ARPP19_		lin	7.72E-03	7.72E-01	0.622026	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_Ser355u_		lin	4.03E-01	4.03E+01	8.625172	1	0
ic_wt_cell__CDC20_APC_		lin	2.30E-02	2.30E+00	2.063023	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__CDC20_APC_1_		lin	6.99E-03	6.99E-01	0.402765	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_Ser355p_		lin	6.31E-03	6.31E-01	0.0291	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355u__FZR1_APC_1_FBXO5_nTermu_		lin	7.14E-02	7.14E+00	1.266238	1	0
ic_wt_cell__FZR1_APC_FBXO5_nTermu_		lin	5.71E-05	5.71E-03	0.000062	1	0
ic_wt_cell__FZR1_APC_FBXO5_nTermp_		lin	1.61E-02	1.61E+00	0.017895	1	0
ic_wt_cell__APC_FBXO5_1_FZR1_CDC20_2_Ser355u__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		lin	1.09E-02	1.09E+00	0.113515	1	0
ic_wt_cell__FBXO5_APC_FZR1_Ser182u_		lin	7.18E-05	7.18E-03	0.006504	1	0
ic_wt_cell__APC_FBXO5_1_FZR1_CDC20_2_Ser355p__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		lin	2.21E-04	2.21E-02	0.020687	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__FZR1_APC_1_FBXO5_nTermu_		lin	1.36E-03	1.36E-01	0.077864	1	0
ic_wt_cell__FBXO5_APC_FZR1_Ser182p_		lin	1.88E-06	1.88E-04	0.000124	1	0
ic_wt_cell__FOXM1_DBD_Thr600u_		lin	5.56E-04	5.56E-02	0.033017	1	0
ic_wt_cell__FOXM1_DBD_Thr600p_		lin	3.81E-05	3.81E-03	0.000527	1	0
ic_wt_cell__CCNB_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_		lin	1.90E-08	1.90E-06	0	1	0
ic_wt_cell__CCNB_promoter_FOXM1_		lin	9.98E-06	9.98E-04	0.000152	1	0
ic_wt_cell__CDC20_promoter_FOXM1_		lin	9.99E-06	9.99E-04	0.000214	1	0
ic_wt_cell__CDC20_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_		lin	7.62E-09	7.62E-07	0.000001	1	0
ic_wt_cell__WEE1_Ser123u_		lin	9.80E-02	9.80E+00	2.546465	1	0
ic_wt_cell__CCNB_CDK1_Thr14_Tyr15p_		lin	7.51E-04	7.51E-02	0.058025	1	0
ic_wt_cell__WEE1_Ser123p_		lin	1.96E-03	1.96E-01	0.193032	1	0
ic_wt_cell__CDC25_pSitesp_		lin	1.84E-03	1.84E-01	0.005924	1	0
ic_wt_cell__CDC25_pSitesu_		lin	9.82E-02	9.82E+00	6.415967	1	0
ic_wt_cell__MASTL_Thr198u_		lin	9.98E-02	9.98E+00	4.321086	1	0
ic_wt_cell__MASTL_Thr198p_		lin	2.47E-04	2.47E-02	0.011811	1	0
ic_wt_cell__ENSA_ARPP19_PPP2R2B_Ser62_Ser67u_		lin	8.27E-02	8.27E+00	0.844898	1	0
ic_wt_cell__ENSA_ARPP19_PPP2R2B_Ser62_Ser67p_		lin	3.29E-05	3.29E-03	0.002698	1	0
ic_wt_cell__ENSA_ARPP19_PPP2R2B_1_Ser62_Ser67p__PPP2R2B_ENSA_ARPP19_1_		lin	1.73E-02	1.73E+00	0.988681	1	0
ic_wt_cell__CCNE_promoter_E2F_		lin	8.45E-06	8.45E-04	0.000075	1	0
ic_wt_cell__CCNA_promoter_E2F_		lin	8.45E-06	8.45E-04	0.000055	1	0
ic_wt_cell__E2F_promoter_E2F_		lin	8.45E-06	8.45E-04	0.00016	1	0
ic_wt_cell__FBXO5_promoter_E2F_		lin	8.45E-06	8.45E-04	0.000026	1	0
ic_wt_cell__FOXM1_promoter_E2F_		lin	8.45E-06	8.45E-04	0.000011	1	0
ic_wt_cell__CCNE_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_		lin	1.55E-06	1.55E-04	0.000046	1	0
ic_wt_cell__CCNA_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_		lin	1.55E-06	1.55E-04	0.00003	1	0
ic_wt_cell__E2F_DBD_1_RB1_Ser332u__E2F_promoter_E2F_1_		lin	1.55E-06	1.55E-04	0.000041	1	0
ic_wt_cell__E2F_DBD_1_RB1_Ser332u__FBXO5_promoter_E2F_1_		lin	1.55E-06	1.55E-04	0.000008	1	0
ic_wt_cell__E2F_DBD_1_RB1_Ser332u__FOXM1_promoter_E2F_1_		lin	1.55E-06	1.55E-04	0.00005	1	0
ic_wt_cell__iWEE		lin	0.00E+00	0.00E+00	0	0	0
sCCNA		lin	2.00E-01	2.00E+01	1.587878	1	1
sCCNB		lin	2.00E-01	2.00E+01	10.266589	1	1
sCCNE		lin	2.00E-01	2.00E+01	6.398588	1	1
sE2F		lin	2.00E-01	2.00E+01	6.279887	1	1
sRB1_pSer807Ser811		lin	2.00E-01	2.00E+01	0.55165	1	1
noiseParameter1		lin	0.00E+00	0.00E+00	0	0	0
noiseParameter2		lin	1.00E-02	1.00E+00	1	0	0
