observableId	simulationConditionId	measurement	time
obs_cycB1__nuc_median	wt	0.740563202	494.6393196
obs_cycB1__nuc_median	wt	1.148591961	660.071628
obs_cycB1__nuc_median	wt	0.681246331	825.7817088
obs_cycB1__nuc_median	wt	0.789095304	991.770588
obs_cycB1__nuc_median	wt	0.758538011	1158.039086
obs_cycB1__nuc_median	wt	0.816057518	1324.58823
obs_cycB1__nuc_median	wt	0.798082709	1491.418908
obs_cycB1__nuc_median	wt	1.153984403	1658.532146
obs_cycB1__nuc_median	wt	1.006590732	1825.928903
obs_cycB1__nuc_median	wt	0.657878961	1993.610066
obs_cycB1__nuc_median	wt	0.71899343	2161.576595
obs_cycB1__nuc_median	wt	0.745955644	2329.829582
obs_cycB1__nuc_median	wt	0.857399697	2498.369918
obs_cycB1__nuc_median	wt	0.876273188	2667.198629
obs_cycB1__nuc_median	wt	0.804373833	2836.316603
obs_cycB1__nuc_median	wt	0.798082709	3005.725003
obs_cycB1__nuc_median	wt	0.592270849	3175.424651
obs_cycB1__nuc_median	wt	0.951767505	3345.41664
obs_cycB1__nuc_median	wt	0.939185138	3515.702065
obs_cycB1__nuc_median	wt	1.122528428	3686.281747
obs_cycB1__nuc_median	wt	0.96345119	3857.156849
obs_cycB1__nuc_median	wt	0.781905381	4028.328328
obs_cycB1__nuc_median	wt	0.729778316	4199.797278
obs_cycB1__nuc_median	wt	1.039844306	4371.564658
obs_cycB1__nuc_median	wt	1.145895798	4543.631561
obs_cycB1__nuc_median	wt	0.786399024	4715.999014
obs_cycB1__nuc_median	wt	0.886159392	4888.668042
obs_cycB1__nuc_median	wt	0.701917303	5061.63974
obs_cycB1__nuc_median	wt	0.936488858	5234.915203
obs_cycB1__nuc_median	wt	0.603954416	5408.495456
obs_cycB1__nuc_median	wt	1.286998228	5582.381594
obs_cycB1__nuc_median	wt	0.875374507	5756.574643
obs_cycB1__nuc_median	wt	0.825044923	5931.075697
obs_cycB1__nuc_median	wt	0.624625505	6105.885919
obs_cycB1__nuc_median	wt	0.808867595	6281.006335
obs_cycB1__nuc_median	wt	0.625524305	6456.438108
obs_cycB1__nuc_median	wt	0.853804735	6632.182332
obs_cycB1__nuc_median	wt	0.657878961	6808.240102
obs_cycB1__nuc_median	wt	0.886159392	6984.612511
obs_cycB1__nuc_median	wt	0.620131862	7161.300724
obs_cycB1__nuc_median	wt	0.445775859	7338.305833
obs_cycB1__nuc_median	wt	0.681246331	7515.629071
obs_cycB1__nuc_median	wt	0.720790911	7693.271464
obs_cycB1__nuc_median	wt	0.625524305	7871.234242
obs_cycB1__nuc_median	wt	0.51048529	8049.518568
obs_cycB1__nuc_median	wt	0.620131862	8228.125606
obs_cycB1__nuc_median	wt	0.704613583	8407.056449
obs_cycB1__nuc_median	wt	0.569802278	8586.312329
obs_cycB1__nuc_median	wt	0.594967011	8765.894408
obs_cycB1__nuc_median	wt	0.512282771	8945.803987
obs_cycB1__nuc_median	wt	0.620131862	9126.042091
obs_cycB1__nuc_median	wt	0.713600988	9306.61002
obs_cycB1__nuc_median	wt	0.735170759	9487.508936
obs_cycB1__nuc_median	wt	0.754943049	9668.740072
obs_cycB1__nuc_median	wt	0.745056963	9850.304725
obs_cycB1__nuc_median	wt	0.880766949	10032.20399
obs_cycB1__nuc_median	wt	0.663271404	10214.43924
obs_cycB1__nuc_median	wt	0.611144339	10397.01156
obs_cycB1__nuc_median	wt	0.904134201	10579.9224
obs_cycB1__nuc_median	wt	1.064110239	10763.17284
obs_cycB1__nuc_median	wt	0.844817213	10946.76425
