parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue_old	estimate	hierarchicalOptimization	nominalValue
ic_wt_cell__CDC25_pSitesu_		lin	9.82E-02	9.82E+00	4.914267822	1	0	5.035353505
ic_wt_cell__MASTL_Thr198u_		lin	9.98E-02	9.98E+00	9.682557874	1	0	9.772056891
ic_wt_cell__MASTL_Thr198p_		lin	2.47E-04	2.47E-02	0.000248346	1	0	0.010564167
ic_wt_cell__ENSA_ARPP19_PPP2R2B_Ser62_Ser67u_		lin	8.27E-02	8.27E+00	0.933158734	1	0	0.979923671
ic_wt_cell__ENSA_ARPP19_PPP2R2B_Ser62_Ser67p_		lin	3.29E-05	3.29E-03	0.00028059	1	0	0.000708754
ic_wt_cell__ENSA_ARPP19_PPP2R2B_1_Ser62_Ser67p__PPP2R2B_ENSA_ARPP19_1_		lin	1.73E-02	1.73E+00	1.130195569	1	0	1.12752773
ic_wt_cell__CCNE_promoter_E2F_		lin	8.45E-06	8.45E-04	0.000104646	1	0	0.000100914
ic_wt_cell__CCNA_promoter_E2F_		lin	8.45E-06	8.45E-04	7.23E-05	1	0	7.20257E-05
ic_wt_cell__E2F_promoter_E2F_		lin	8.45E-06	8.45E-04	0.000165788	1	0	0.000201423
ic_wt_cell__FBXO5_promoter_E2F_		lin	8.45E-06	8.45E-04	8.83E-05	1	0	8.58734E-05
ic_wt_cell__FOXM1_promoter_E2F_		lin	8.45E-06	8.45E-04	2.35E-05	1	0	2.65824E-05
ic_wt_cell__CCNE_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_		lin	1.55E-06	1.55E-04	3.05E-05	1	0	2.9836E-05
ic_wt_cell__CCNA_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_		lin	1.55E-06	1.55E-04	2.50E-05	1	0	2.31972E-05
ic_wt_cell__E2F_DBD_1_RB1_Ser332u__E2F_promoter_E2F_1_		lin	1.55E-06	1.55E-04	9.65E-05	1	0	9.48415E-05
ic_wt_cell__E2F_DBD_1_RB1_Ser332u__FBXO5_promoter_E2F_1_		lin	1.55E-06	1.55E-04	1.30E-05	1	0	2.14004E-05
ic_wt_cell__E2F_DBD_1_RB1_Ser332u__FOXM1_promoter_E2F_1_		lin	1.55E-06	1.55E-04	3.81E-05	1	0	3.60262E-05
ic_wt_cell__iWEE		lin	0.00E+00	0.00E+00	0	0	0	0
sCCNA		lin	2.00E-01	2.00E+01	2.483732216	1	1	2.757105583
sCCNB		lin	2.00E-01	2.00E+01	12.20967878	1	1	12.52688704
sCCNE		lin	2.00E-01	2.00E+01	7.931312626	1	1	8.629081809
sE2F		lin	2.00E-01	2.00E+01	5.368452006	1	1	5.127051946
sRB1_pSer807Ser811		lin	2.00E-01	2.00E+01	0.488879479	1	1	0.485449805
noiseParameter1		lin	0.00E+00	0.00E+00	0	0	0	0
noiseParameter2		lin	1.00E-02	1.00E+00	1	0	0	1
