parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization	objectivePriorType	objectivePriorParameters	
ic_wt_cell__FOXM1_DBD_Thr600u_		lin	0.000556473	0.055647336	0.005564734	1	0	uniform		
ic_wt_cell__FOXM1_DBD_Thr600p_		lin	3.81116E-05	0.003811162	0.000381116	1	0	uniform		
ic_wt_cell__CCNB_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_		lin	0	0	0.00E+00	0	0	uniform		
ic_wt_cell__CCNB_promoter_FOXM1_		lin	0.00001	0.001	1.00E-04	0	0	uniform		
ic_wt_cell__CDC20_promoter_FOXM1_		lin	0.00001	0.001	1.00E-04	0	0	uniform		
ic_wt_cell__CDC20_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_		lin	0	0	0.00E+00	0	0	uniform		
ic_wt_cell__WEE1_Ser123u_		lin	0.098044163	9.8044163	0.98044163	1	0	uniform		
ic_wt_cell__CCNB_CDK1_Thr14_Tyr15p_		lin	0.000751291	0.075129148	0.007512915	1	0	uniform		
ic_wt_cell__WEE1_Ser123p_		lin	0.001955837	0.19558367	0.019558367	1	0	uniform		
ic_wt_cell__CDC25_pSitesp_		lin	0.001843807	0.18438067	0.018438067	1	0	uniform		
ic_wt_cell__CDC25_pSitesu_		lin	0.098156193	9.8156193	0.98156193	1	0	uniform		
ic_wt_cell__MASTL_Thr198u_		lin	0.099752571	9.9752571	0.99752571	1	0	uniform		
ic_wt_cell__MASTL_Thr198p_		lin	0.00024743	0.02474295	0.002474295	1	0	uniform		
ic_wt_cell__ENSA_ARPP19_PPP2R2B_Ser62_Ser67u_		lin	0.082686306	8.2686306	0.82686306	1	0	uniform		
ic_wt_cell__ENSA_ARPP19_PPP2R2B_Ser62_Ser67p_		lin	3.28561E-05	0.003285612	0.000328561	1	0	uniform		
ic_wt_cell__ENSA_ARPP19_PPP2R2B_1_Ser62_Ser67p__PPP2R2B_ENSA_ARPP19_1_		lin	0.017280837	1.7280837	0.17280837	1	0	uniform		
ic_wt_cell__CCNE_promoter_E2F_		lin	0.00001	0.001	1.00E-04	0	0	uniform		
ic_wt_cell__CCNA_promoter_E2F_		lin	0.00001	0.001	1.00E-04	0	0	uniform		
ic_wt_cell__E2F_promoter_E2F_		lin	0.00001	0.001	1.00E-04	0	0	uniform		
ic_wt_cell__FBXO5_promoter_E2F_		lin	0.00001	0.001	1.00E-04	0	0	uniform		
ic_wt_cell__FOXM1_promoter_E2F_		lin	0.00001	0.001	1.00E-04	0	0	uniform		
ic_wt_cell__CCNE_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_		lin	0	0	0	0	0	uniform		
ic_wt_cell__CCNA_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_		lin	0	0	0	0	0	uniform		
ic_wt_cell__E2F_DBD_1_RB1_Ser332u__E2F_promoter_E2F_1_		lin	0	0	0	0	0	uniform		
ic_wt_cell__E2F_DBD_1_RB1_Ser332u__FBXO5_promoter_E2F_1_		lin	0	0	0	0	0	uniform		
ic_wt_cell__E2F_DBD_1_RB1_Ser332u__FOXM1_promoter_E2F_1_		lin	0	0	0	0	0	uniform		
