parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization
ic_wt_cell__CCNE_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_		lin	1.55E-06	1.55E-04	4.88E-05	1	0
ic_wt_cell__CCNA_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_		lin	1.55E-06	1.55E-04	1.45E-06	1	0
ic_wt_cell__E2F_DBD_1_RB1_Ser332u__E2F_promoter_E2F_1_		lin	1.55E-06	1.55E-04	8.96E-05	1	0
ic_wt_cell__E2F_DBD_1_RB1_Ser332u__FBXO5_promoter_E2F_1_		lin	1.55E-06	1.55E-04	3.65E-05	1	0
ic_wt_cell__E2F_DBD_1_RB1_Ser332u__FOXM1_promoter_E2F_1_		lin	1.55E-06	1.55E-04	2.20E-06	1	0
ic_wt_cell__iWEE		lin	0.00E+00	0.00E+00	0.00E+00	0	0
oCCNA		lin	0.00E+00	3.06E-01	0.369638903	1	0
oCCNB		lin	0.00E+00	5.35E-01	0.451554429	1	0
oCCNE		lin	0.00E+00	6.25E-01	0.751635103	1	0
oE2F		lin	0.00E+00	7.11E-01	0.727731185	1	0
oRB1_pSer807Ser811		lin	0.00E+00	9.24E-02	0.001717056	1	0
sCCNA		lin	2.00E-01	2.00E+01	18.84440609	1	1
sCCNB		lin	2.00E-01	2.00E+01	11.49012381	1	1
sCCNE		lin	2.00E-01	2.00E+01	0.357542226	1	1
sE2F		lin	2.00E-01	2.00E+01	0.200031705	1	1
sRB1_pSer807Ser811		lin	2.00E-01	2.00E+01	0.603547864	1	1
noiseParameter1		lin	0.00E+00	0.00E+00	0	0	0
noiseParameter2		lin	1.00E-02	1.00E+00	1	0	0
